  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:01 /sbin/init splash
    2 ?        S      0:00 [kthreadd]
    4 ?        S<     0:00 [kworker/0:0H]
    5 ?        S      0:00 [kworker/u8:0]
    6 ?        S      0:00 [ksoftirqd/0]
    7 ?        S      0:01 [rcu_sched]
    8 ?        S      0:00 [rcu_bh]
    9 ?        S      0:00 [migration/0]
   10 ?        S<     0:00 [lru-add-drain]
   11 ?        S      0:00 [watchdog/0]
   12 ?        S      0:00 [cpuhp/0]
   13 ?        S      0:00 [cpuhp/1]
   14 ?        S      0:00 [watchdog/1]
   15 ?        S      0:00 [migration/1]
   16 ?        S      0:00 [ksoftirqd/1]
   18 ?        S<     0:00 [kworker/1:0H]
   19 ?        S      0:00 [cpuhp/2]
   20 ?        S      0:00 [watchdog/2]
   21 ?        S      0:00 [migration/2]
   22 ?        S      0:00 [ksoftirqd/2]
   24 ?        S<     0:00 [kworker/2:0H]
   25 ?        S      0:00 [cpuhp/3]
   26 ?        S      0:00 [watchdog/3]
   27 ?        S      0:00 [migration/3]
   28 ?        S      0:00 [ksoftirqd/3]
   30 ?        S<     0:00 [kworker/3:0H]
   31 ?        S      0:00 [kdevtmpfs]
   32 ?        S<     0:00 [netns]
   33 ?        S      0:00 [khungtaskd]
   34 ?        S      0:00 [oom_reaper]
   35 ?        S<     0:00 [writeback]
   36 ?        S      0:00 [kcompactd0]
   37 ?        SN     0:00 [ksmd]
   38 ?        SN     0:00 [khugepaged]
   39 ?        S<     0:00 [crypto]
   40 ?        S<     0:00 [kintegrityd]
   41 ?        S<     0:00 [bioset]
   42 ?        S<     0:00 [kblockd]
   44 ?        S      0:00 [kworker/3:1]
   45 ?        S      0:00 [kworker/0:1]
   47 ?        S<     0:00 [ata_sff]
   48 ?        S<     0:00 [md]
   49 ?        S<     0:00 [devfreq_wq]
   50 ?        S<     0:00 [watchdogd]
   53 ?        S      0:00 [kauditd]
   54 ?        S      0:00 [kswapd0]
   55 ?        S<     0:00 [vmstat]
   56 ?        S<     0:00 [bioset]
   57 ?        S      0:00 [ecryptfs-kthrea]
   97 ?        S<     0:00 [kthrotld]
   98 ?        S<     0:00 [acpi_thermal_pm]
   99 ?        S<     0:00 [bioset]
  100 ?        S<     0:00 [bioset]
  101 ?        S      0:00 [kworker/2:2]
  102 ?        S<     0:00 [bioset]
  103 ?        S<     0:00 [bioset]
  104 ?        S<     0:00 [bioset]
  105 ?        S<     0:00 [bioset]
  106 ?        S<     0:00 [bioset]
  107 ?        S<     0:00 [bioset]
  108 ?        S      0:00 [scsi_eh_0]
  109 ?        S<     0:00 [scsi_tmf_0]
  110 ?        S      0:00 [scsi_eh_1]
  111 ?        S<     0:00 [scsi_tmf_1]
  112 ?        S      0:00 [kworker/u8:2]
  113 ?        S      0:00 [scsi_eh_2]
  114 ?        S<     0:00 [scsi_tmf_2]
  115 ?        S      0:00 [scsi_eh_3]
  116 ?        S<     0:00 [scsi_tmf_3]
  123 ?        S<     0:00 [ipv6_addrconf]
  124 ?        S      0:00 [kworker/3:2]
  145 ?        S<     0:00 [charger_manager]
  147 ?        S      0:00 [kworker/1:2]
  151 ?        S<     0:00 [bioset]
  152 ?        S<     0:00 [bioset]
  153 ?        S<     0:00 [kworker/2:1H]
  154 ?        S<     0:00 [kworker/0:1H]
  155 ?        S<     0:00 [kworker/3:1H]
  201 ?        S      0:00 [scsi_eh_4]
  202 ?        S<     0:00 [scsi_tmf_4]
  211 ?        S      0:00 [usb-storage]
  212 ?        S      0:00 [i915/signal:0]
  213 ?        S      0:00 [i915/signal:1]
  214 ?        S      0:00 [i915/signal:2]
  217 ?        S<     0:00 [kworker/1:1H]
  219 ?        S<     0:00 [bioset]
  295 ?        S<     0:00 [bioset]
  325 ?        S      0:00 [jbd2/sda7-8]
  326 ?        S<     0:00 [ext4-rsv-conver]
  373 ?        Ss     0:00 /lib/systemd/systemd-journald
  389 ?        Ss     0:00 /sbin/lvmetad -f
  398 ?        Ss     0:00 /lib/systemd/systemd-udevd
  472 ?        S      0:00 [irq/29-mei_me]
